Timestamp_Seconds	Memory_Usage_MB
1216.51	1880.15
1217.66	1880.80
1218.81	1880.80
1219.96	1880.80
1221.11	1880.80
1222.26	1880.80
1223.41	1880.80
1224.56	1880.80
1225.71	1880.80
1226.86	1880.80
1228.01	1880.80
1229.16	1880.81
1230.30	1880.81
1231.45	1880.81
1232.60	1880.81
1233.75	1880.81
1234.90	1880.81
1236.05	1880.81
1237.20	1880.81
1238.35	1880.81
1239.50	1880.81
1240.65	1880.81
1241.80	1880.81
1242.95	1880.81
1244.10	1880.81
1245.25	1880.81
1246.40	1880.81
1247.55	1880.81
1248.70	1880.81
1249.85	1880.81
1250.99	1880.81
1252.14	1880.81
1253.29	1880.81
1254.44	1880.81
1255.59	1880.81
1256.74	1880.81
1257.89	1880.81
1259.04	1880.81
1260.19	1880.81
1261.34	1880.81
1262.49	1880.81
1263.64	1880.81
1264.79	1880.81
1265.93	1880.81
1267.08	1880.81
1268.23	1880.81
1269.38	1880.81
1270.53	1880.81
1271.68	1880.81
1272.83	1880.81
1273.98	1880.81
1275.13	1880.81
1276.28	1880.81
1277.43	1880.81
1278.58	1880.81
1279.73	1880.81
1280.88	1880.81
1282.03	1880.81
1283.18	1880.81
1284.33	1880.81
1285.48	1880.81
1286.63	1880.81
1287.78	1880.81
1288.93	1880.81
1290.08	1880.81
1291.23	1880.77
1292.38	1880.78
1293.53	1880.78
1294.68	1880.78
1295.83	1880.78
1296.98	1880.78
1298.13	1880.78
1299.28	1880.78
1300.43	1880.78
1301.58	1880.78
1302.73	1880.78
1303.88	1880.78
1305.03	1880.78
1306.18	1880.78
1307.33	1880.78
1308.48	1880.78
1309.63	1880.78
1310.78	1880.78
1311.93	1811.57
1313.08	1811.57
1314.23	1811.57
1315.38	1811.57
1316.53	1823.84
1317.68	1851.14
1318.83	1872.20
1319.98	1875.48
1321.13	1877.48
1322.28	1877.48
1323.43	1879.97
1324.58	1879.97
1325.73	1879.97
1326.88	1879.97
1328.03	1879.97
1329.18	1879.97
1330.32	1879.97
1331.47	1879.97
1332.62	1879.97
1333.77	1879.97
1334.92	1879.97
1336.07	1879.97
1337.22	1879.97
1338.37	1879.97
1339.52	1879.97
1340.67	1879.97
1341.82	1879.99
1342.97	1879.99
1344.12	1879.99
1345.27	1880.80
1346.42	1880.80
1347.57	1880.80
1348.72	1880.80
1349.87	1880.80
1351.02	1880.80
1352.17	1880.80
1353.32	1880.80
1354.47	1880.80
1355.62	1880.80
1356.77	1880.80
1357.91	1880.53
1359.06	1880.10
1360.21	1880.10
1361.36	1880.09
1362.51	1880.09
1363.66	1880.09
1364.81	1880.09
1365.96	1880.09
1367.12	1880.09
1368.27	1879.60
1369.42	1879.60
1370.57	1879.60
1371.72	1879.60
1372.87	1879.60
1374.02	1879.60
1375.17	1879.51
1376.32	1879.49
1377.47	1879.50
1378.62	1879.46
1379.77	1879.45
1380.92	1879.39
1382.07	1879.32
1383.22	1878.79
1384.38	1878.79
1385.53	1878.79
1386.68	1878.79
1387.83	1878.79
1388.98	1878.79
1390.13	1878.76
1391.28	1878.59
1392.43	1878.51
1393.58	1877.96
1394.73	1877.96
1395.88	1877.96
1397.03	1877.96
1398.18	1877.96
1399.33	1877.96
1400.48	1877.96
1401.63	1877.96
1402.78	1877.96
1403.93	1877.96
1405.08	1877.96
1406.23	1877.96
1407.38	1877.96
1408.53	1877.96
1409.68	1808.76
1410.83	1808.76
1411.98	1808.76
1413.13	1808.76
1414.28	1842.54
1415.43	1872.88
1416.58	1872.88
1417.73	1872.88
1418.88	1874.09
1420.03	1875.11
1421.18	1876.37
1422.33	1876.37
1423.48	1876.61
1424.63	1876.61
1425.78	1876.61
1426.93	1876.61
1428.08	1876.61
1429.23	1877.41
1430.38	1877.49
1431.53	1877.49
1432.68	1877.49
1433.88	2526.44
1435.07	3033.83
1436.27	3054.39
1437.46	3060.71
1438.65	3062.74
1439.85	3065.56
1441.04	3068.30
1442.24	3070.30
1443.43	3002.44
1444.63	3077.51
1445.82	3078.58
1447.02	3078.58
1448.21	3473.38
1449.40	3681.73
1450.59	3682.79
1451.79	3687.51
1452.98	3687.67
1454.17	3687.67
1455.36	3687.67
1456.56	3689.67
